country,year,iso_code,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy
Canada,1970,CAN,21434580,4.17752E+11,0,0,0,0,0,0,0,0,0,7.363,13.502,9184.814,196.873,0,0,59.021,51.811,6512.623,139.595,0,10.536,0,0,0,7.06,123.216,87175.18,4.473,7.671,99.599,0,0,65222.242,1398.011,0,74.817,10.476,32.842,346.339,0,0,16157.933,-18.113,-119.482,25200.527,540.163,0,18.535,0,4.978,22.174,467.609,7377.658,158.137,21815.654,0,25.025,5.297,23.616,470.552,48.38,1.037,21952.932,0,25.183,0,0,96.03,1.441,2.943,48.38,1.037,137.278,0,0.157,6.644,53.255,854.8,0,0,39879.496,12.617,91.294,38017.52,814.89,0,45.746,0,0,0,0,0,0,0,0,0,0,0,0,1868.563,4.978,22.174,467.609,0,0,21815.654,0,25.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,1971,CAN,21888686,4.41057E+11,0,0,0,0,0,0,0,0,0,-4.95,-9.746,8549.015,187.127,0,0,8.023,11.2,6889.169,150.795,0,9.71,0,0,0,3.135,58.582,88042.992,4.369,2.62,36.631,0,0,65542.641,1434.642,0,74.444,6.735,23.327,369.665,0,0,16888.416,9.328,50.387,26979.691,590.55,0,19.182,0,2.734,12.786,480.395,7422.145,162.461,21947.201,0,24.928,4.746,21.951,492.503,194.941,4.267,22500.35,0,25.556,0,0,311.475,9.165,12.108,194.941,4.267,553.148,0,0.628,2.697,23.05,877.85,0,0,40105.211,7.273,59.265,39936.371,874.155,0,45.552,0,0,0,0,0,0,0,0,0,0,0,0,1927.145,2.734,12.786,480.395,0,0,21947.201,0,24.928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,1972,CAN,22222228,4.64342E+11,0,0,0,0,0,0,0,0,0,-5.637,-10.548,7946.021,176.578,0,0,11.1,16.738,7538.963,167.533,0,8.513,0,0,0,7.634,147.126,93342.203,4.467,5.72,82.064,0,0,68251.75,1516.706,0,73.12,12.479,46.13,415.795,0,0,18710.762,12.903,76.2,30003.742,666.75,0,20.045,0,11.805,56.709,537.105,8173.753,181.639,24169.699,0,25.894,13.268,65.063,557.566,324.495,7.211,25090.457,0,26.88,0,0,68.995,8.354,20.461,324.495,7.211,920.759,0,0.986,5.295,46.482,924.333,0,0,41594.965,15.366,134.319,45381.316,1008.474,0,44.562,0,0,0,0,0,0,0,0,0,0,0,0,2074.272,11.805,56.709,537.105,0,0,24169.699,0,25.894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,1973,CAN,22502026,4.97617E+11,0,0,0,0,0,0,0,0,0,2.99,5.28,8081.864,181.858,0,0,10.161,17.023,8201.728,184.555,0,8.073,0,0,0,8.594,178.272,100104.031,4.527,7.712,116.964,0,0,72601.023,1633.67,0,72.526,6.345,26.384,442.179,0,0,19650.635,7.143,47.625,31747.139,714.375,0,19.63,0,7.165,38.485,575.59,8650.511,194.654,25579.465,0,25.553,11.151,61.307,618.873,677.894,15.254,27503,0,27.474,0,0,111.538,22.822,43.283,677.894,15.254,1923.536,0,1.922,9.228,85.3,1009.633,0,0,44868.527,15.686,158.185,51846.84,1166.659,0,44.822,0,0,0,0,0,0,0,0,0,0,0,0,2252.543,7.165,38.485,575.59,0,0,25579.465,0,25.553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,1974,CAN,22812430,5.17952E+11,0,0,0,0,0,0,0,0,0,1.605,2.919,8099.857,184.777,0,0,3.067,5.661,8338.275,190.216,0,7.953,0,0,0,3.146,70.856,101847.945,4.486,1.536,25.089,0,0,72712.945,1658.759,0,71.394,1.086,4.801,446.98,0,0,19593.688,-2.075,-14.821,30665.479,699.554,0,19.238,0,8.226,47.35,622.94,9234.747,210.667,27307.045,0,26.812,7.363,45.767,664.64,644.21,14.696,29135.002,0,28.606,0,0,-3.658,-1.583,41.7,644.21,14.696,1827.956,0,1.795,1.72,17.369,1027.002,0,0,45019.402,-5.909,-68.943,48119.188,1097.716,0,44.203,0,0,0,0,0,0,0,0,0,0,0,0,2323.399,8.226,47.35,622.94,0,0,27307.045,0,26.812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,1975,CAN,23136250,5.29611E+11,0,0,0,0,0,0,0,0,0,-2.713,-5.013,7769.838,179.765,0,0,17.387,33.073,9651.05,223.289,0,7.854,0,0,0,-1.483,-34.462,98932.938,4.322,-0.253,-4.191,0,0,71514.109,1654.568,0,72.285,3.267,14.602,461.582,0,0,19950.576,2.146,15.011,30885.104,714.565,0,20.166,0,-3.891,-24.238,598.702,8751.202,202.47,25877.211,0,26.156,-4.581,-30.271,634.369,543.303,12.57,27418.84,0,27.715,0,0,-14.467,-6.033,35.668,543.303,12.57,1541.631,0,1.558,-1.342,-13.78,1013.222,0,0,43793.691,-13.573,-148.989,41006.066,948.727,0,44.266,0,0,0,0,0,0,0,0,0,0,0,0,2288.937,-3.891,-24.238,598.702,0,0,25877.211,0,26.156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,1976,CAN,23442118,5.58635E+11,0,0,0,0,0,0,0,0,0,18.393,33.064,9078.915,212.829,0,0,3.132,6.994,9823.472,230.283,0,8.879,0,0,0,4.721,108.052,102251.375,4.291,3.737,61.827,0,0,73218.414,1716.395,0,71.606,0.887,4.096,465.677,0,0,19864.982,0.88,6.286,30750.293,720.852,0,19.428,0,5.047,30.217,628.919,9072.942,212.689,26828.594,0,26.238,7.334,46.225,680.594,742.936,17.416,29032.961,0,28.394,0,0,38.552,13.751,49.418,742.936,17.416,2108.093,0,2.062,2.434,24.667,1037.889,0,0,44274.52,-7.688,-72.934,37359.797,875.793,0,43.3,2.257,0.707,0,0,2.257,30.159,0,96.275,0,0,0.094,0,2396.989,5.396,32.474,631.176,0,0,26924.869,0,26.332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,1977,CAN,23715310,5.7742E+11,0,0,0,0,0,0,0,0,0,27.781,59.127,11467.526,271.956,0,0,13.042,30.034,10976.738,260.317,0,10.726,0,0,0,5.78,138.553,106915.836,4.391,5.245,90.017,0,0,76170.703,1806.412,0,71.244,4.889,22.765,488.442,0,0,20596.062,5.048,36.385,31930.32,757.237,0,19.264,0,3.507,22.053,650.972,9282.906,220.147,27449.453,0,25.674,7.255,48.536,729.131,1110.759,26.342,30745.145,0,28.756,0,0,51.252,25.328,74.746,1110.759,26.342,3151.796,0,2.948,0.783,8.125,1046.014,0,0,44107.117,0.358,3.137,37061.684,878.929,0,41.254,3.412,1.069,0,51.202,1.156,45.076,0,143.893,0,0,0.135,0,2535.542,3.665,23.209,654.385,0,0,27593.346,0,25.808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,1978,CAN,23962686,6.00763E+11,0,0,0,0,0,0,0,0,0,-17.773,-48.334,9332.077,223.622,0,0,4.83,12.573,11388.1,272.889,0,8.653,0,0,0,1.92,48.674,107843.352,4.302,-0.553,-9.989,0,0,74967.516,1796.423,0,69.515,0.956,4.667,493.109,0,0,20578.213,-3.497,-26.479,30495.66,730.758,0,19.082,0,6.862,44.671,695.644,9817.514,235.254,29030.283,0,26.919,8.091,58.663,787.793,1302.108,31.202,32875.832,0,30.485,0,0,18.45,13.79,88.536,1302.108,31.202,3694.75,0,3.426,3.22,33.678,1079.692,0,0,45057.227,-0.509,-4.471,36492.496,874.458,0,41.78,3.614,1.132,0,5.893,0.201,47.24,0,150.8,0,0,0.14,0,2584.216,6.858,44.872,699.257,0,0,29181.084,0,27.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,1979,CAN,24219116,6.25737E+11,0,0,0,0,0,0,0,0,0,-5.31,-11.874,8742.986,211.747,0,0,8.045,21.954,12174.003,294.844,0,7.96,0,0,0,2.94,75.989,109839.055,4.251,2.09,37.543,0,0,75723.914,1833.966,0,68.941,1.526,7.525,500.634,0,0,20671.027,5.448,39.815,31816.705,770.572,0,18.819,0,3.769,26.22,721.863,10079.683,244.121,29805.512,0,27.136,4.914,38.445,826.239,1456.329,35.271,34115.145,0,31.059,0,0,13.041,11.546,100.082,1456.329,35.271,4132.355,0,3.762,3.88,41.893,1121.585,0,0,46309.898,14.742,128.915,41428.977,1003.373,0,42.162,4.294,1.345,0,18.816,0.68,55.535,0,177.278,0,0,0.161,0,2660.205,3.841,26.9,726.157,0,0,29982.791,0,27.297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,1980,CAN,24511512,6.34114E+11,0,0,0,0,0,0,0,0,0,21.792,46.144,10521.235,257.891,0,0,-22.741,-67.049,9293.359,227.794,0,9.51,0,0,0,1.936,51.489,110629.383,4.276,1.255,23.019,0,0,75759.719,1856.985,0,68.481,-0.628,-3.143,497.491,0,0,20296.209,-7.565,-58.293,29058.979,712.279,0,18.346,0,2.878,20.779,742.642,10246.124,251.148,30297.678,0,27.387,3.471,28.469,854.708,1551.598,38.032,34869.66,0,31.519,0,0,7.828,7.834,107.916,1551.598,38.032,4402.681,0,3.98,-1.782,-19.982,1101.603,0,0,44942.277,-3.483,-34.949,39508.953,968.424,0,40.624,4.15,1.3,0,-3.346,-0.144,53.036,0,169.303,0,0,0.153,0,2711.693,2.844,20.635,746.792,0,0,30466.98,0,27.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,1981,CAN,24815780,6.53774E+11,0,0,0,0,0,0,0,0,0,2.104,5.426,10610.879,263.317,0,0,18.228,41.523,10852.66,269.317,0,9.768,0,0,0,-0.587,-15.923,108631.281,4.123,-3.639,-67.568,0,0,72108.031,1789.417,0,66.379,-2.968,-14.764,482.727,0,0,19452.42,-3.37,-24.003,27735.436,688.276,0,17.907,0,5.92,43.962,786.603,10719.591,266.015,31697.713,0,29.179,6.025,51.645,906.353,1614.578,40.067,36523.25,0,33.621,0,0,5.351,5.774,113.691,1614.578,40.067,4581.388,0,4.217,-5.286,-58.23,1043.373,0,0,42044.73,-9.497,-91.969,35318.473,876.455,0,38.704,6.059,1.898,0,46,1.909,76.484,0,244.151,0,0,0.225,0,2695.77,6.126,45.87,792.662,0,0,31941.863,0,29.404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
